"osebuildingid","datayear","buildingname","buildingtype","taxparcelidentificationnumber","address","city","state","zipcode","latitude","longitude","neighborhood","councildistrictcode","yearbuilt","numberoffloors","numberofbuildings","propertygfatotal","propertygfabuildings","propertygfaparking","selfreportgfatotal","selfreportgfabuildings","selfreportparking","energystarscore","siteeuiwn_kbtu_sf","siteeui_kbtu_sf","siteenergyuse_kbtu","siteenergyusewn_kbtu","sourceeuiwn_kbtu_sf","sourceeui_kbtu_sf","epapropertytype","largestpropertyusetype","largestpropertyusetypegfa","secondlargestpropertyusetype","secondlargestpropertyuse","thirdlargestpropertyusetype","thirdlargestpropertyusetypegfa","electricity_kwh","steamuse_kbtu","naturalgas_therms","compliancestatus","complianceissue","electricity_kbtu","naturalgas_kbtu","totalghgemissions","ghgemissionsintensity","demolished"
"82","2025","Wa Dept Of Social & Health Services (Dshs)","NonResidential","2254501944","1700 E CHERRY ST","SEATTLE","WA","98122","47.608227797977","-122.30955617444","CENTRAL","3","1962","2","1","54984","54984","0","59221","59221","0","73","49.8","51","3019800","2949428","107","108.3","Office","Office","59221","NA",,"NA",,"542944",,"11673","Compliant","No Issue","1852525","1167270","68.88","1.16","false"
"84","2025","Providence Mt St Vincent","Hospital","2324039001","4831 35TH AVE SW","SEATTLE","WA","98126","47.558374391824","-122.37751108851","SOUTHWEST","1","1922","5","1","371257","296313","74944","371257","296313","74944","44","146.2","149","44163952","43329284","218.5","221.4","Senior Living Community","Senior Living Community","296355","Parking",,"NA",,"3223299",,"331661","Compliant","No Issue","10997896","33166059","1777.35","6","false"
"85","2025","The Broadview Center (Foss Home And Village)","Multifamily LR (1-4)","2426039059","13023 GREENWOOD AVE N","SEATTLE","WA","98133","47.724258782222","-122.35599078942","NORTHWEST","5","1970","2","1","93397","93397","0","93397","93397","0",,,,,,,,"Senior Living Community","Senior Living Community","93397","NA",,"NA",,,,"81858","Not Compliant","Missing EUI or Utility Data",,"8185790",,,"false"
"86","2025","Fhcc â€“ Behnke Family House","Hospital","2467400430","207 PONTIUS AVE N","SEATTLE","WA","98109","47.619881141603","-122.33210511407","LAKE UNION","7","2008","6","1","84103","63371","20732","84103","63371","20732","83","58.2","57.7","3655112","3687130","148.7","146.9","Hotel","Hotel","63371","Parking","20732","NA",,"916340",,"5286","Compliant","No Issue","3126553","528560","45.72","0.72","false"
"87","2025","Arbor Heights Elementary School (Sps-District)","School","2518400005","3701 SW 104TH ST","SEATTLE","WA","98146","47.509734664622","-122.37850882975","SOUTHWEST","1","2016","3","1","78972","78972","0","89973","89973","0","96","24","24.7","2225926","2155029","39.8","41.1","K-12 School","K-12 School","89973","NA",,"NA",,"323139",,"11234","Compliant","No Issue","1102549","1123380","62.85","0.7","false"
"89","2025","Polyclinic Medical Office (North & South)","Hospital","1978201270","1200 HARVARD AVE","SEATTLE","WA","98122","47.612440419891","-122.32140152399","EAST","3","1965","3","2","329489","179014","150475","241014","119305","121709",,"101.6","101.5","12115346","12123942","218.1","217.9","Parking","Parking","121709","Urgent Care/Clinic/Other Outpatient","119305","NA",,"2223046",,"45303","Not Compliant","Default Data","7585033","4530310",,,"false"
"95","2025","Sorrento Hotel","NonResidential","1979200270","900 MADISON ST","SEATTLE","WA","98104","47.608979634135","-122.32693259472","EAST","3","1908","7","1","76631","76631","0","20000","20000","0","1","304.7","305.1","6101876","6094978","525.6","526","Hotel","Hotel","20000","NA",,"NA",,"688719",,"37520","Compliant","No Issue","2349909","3751970","212.12","10.61","false"
"96","2025","Bloodworks Nw Central Seattle","NonResidential","1979200290","921 TERRY AVE","SEATTLE","WA","98104","47.60845142319","-122.32636618563","EAST","3","1983","6","1","121099","96783","24316","121099","96783","24316","27","140.6","141.4","13689166","13603552","312.8","314.4","Medical Office","Medical Office","96783","Parking","24316","NA",,"2564358","4939578",,"Compliant","No Issue","8749589",,"450.68","4.66","false"
"100","2025","City Place Iii (Obidos/Rufus)","NonResidential","1983200325","551 BOREN AVE N","SEATTLE","WA","98109","47.624239783773","-122.33645624039","LAKE UNION","7","2010","5","2","438093","287367","150726","443917","293191","150726",,"50.2","50.2","14723896","14723896","124.4","124.4","Office","Office","271499","Parking","150726","Other - Services","10946","3519900",,"27140","Compliant","No Issue","12009899","2714000","213.5","0.73","false"
"102","2025","Marriott Residence Inn","NonResidential","1984200065","800 FAIRVIEW AVE N","SEATTLE","WA","98109","47.62641636929","-122.33324902585","LAKE UNION","7","1990","7","1","282863","238097","44766","290330","238342","51988","84","62.5","63.5","15126738","14898370","125.1","126.1","Hotel","Hotel","238342","Parking","51988","NA",,"2372390",,"70321","Compliant","No Issue","8094595","7032140","407.55","1.71","false"
