OSEBuildingID,SiteEUI,DataYear,BuildingType,EPAPropertyType,LargestPropertyUseType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,Neighborhood,CouncilDistrictCode,ZipCode,YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,PropertyGFABuilding,PropertyGFAParking,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,Latitude,Longitude
234,2.7,2025,NonResidential,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Residence Hall/Dormitory,Office,MAGNOLIA/QUEEN ANNE,7,98109,1926.0,2.0,1.0,50292.0,50292.0,0.0,38693.0,5000.0,4730.0,47.625515788329,-122.34063596819
235,67.9,2025,NonResidential,Hotel,Hotel,Parking,,MAGNOLIA/QUEEN ANNE,7,98109,1998.0,7.0,1.0,207656.0,153315.0,54341.0,156062.0,66065.0,,47.627413675403,-122.34059830942
237,34.8,2025,School,K-12 School,K-12 School,,,BALLARD,6,98117,1999.0,2.0,1.0,67235.0,67235.0,0.0,68648.0,,,47.683589833918,-122.37307537962
238,78.3,2025,NonResidential,Office,Office,Distribution Center,Parking,NORTHWEST,5,98103,1957.0,2.0,1.0,91130.0,91130.0,0.0,61407.0,32881.0,11850.0,47.700437073305,-122.34135680357
239,23.8,2025,School,K-12 School,K-12 School,,,SOUTHWEST,1,98136,1991.0,3.0,1.0,58118.0,58118.0,0.0,58473.0,,,47.540250885757,-122.38849822025
241,60.0,2025,NonResidential,Hotel,Hotel,,,NORTH,5,98133,1968.0,4.0,1.0,64892.0,64892.0,0.0,64893.0,,,47.709163885319,-122.33215532115
242,19.8,2025,School,K-12 School,K-12 School,,,NORTH,5,98115,1989.0,2.0,1.0,52792.0,52792.0,0.0,55480.0,,,47.698231729384,-122.3212578504
243,24.3,2025,School,K-12 School,K-12 School,,,GREATER DUWAMISH,2,98108,1925.0,1.0,1.0,143516.0,143516.0,0.0,132394.0,,,47.538090825071,-122.29591302938
244,18.0,2025,NonResidential,Office,Office,,,DOWNTOWN,1,98104,1900.0,3.0,1.0,44558.0,44558.0,0.0,46540.0,,,47.60105360192,-122.33518419415
245,40.1,2025,NonResidential,Stadium (Open),Stadium (Open),Parking,,GREATER DUWAMISH,1,98134,1999.0,6.0,1.0,1913640.0,1585960.0,327680.0,1585960.0,,,47.595438137118,-122.33159313338
247,53.9,2025,NonResidential,Other - Utility,Other - Utility,Office,Vehicle Repair Services,GREATER DUWAMISH,1,98134,1924.0,2.0,1.0,179161.0,179161.0,0.0,117861.0,37321.0,25543.0,47.571989667798,-122.32810596037
248,60.1,2025,NonResidential,Other - Utility,Other - Utility,Vehicle Repair Services,,GREATER DUWAMISH,1,98134,1965.0,2.0,1.0,58640.0,58640.0,0.0,39140.0,19500.0,,47.5707004085,-122.33010498815
249,71.4,2025,NonResidential,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,,,GREATER DUWAMISH,1,98134,1999.0,3.0,1.0,1172127.0,1172127.0,0.0,1172127.0,,,47.590850637819,-122.33354373203
250,113.1,2025,NonResidential,Hotel,Hotel,Parking,,GREATER DUWAMISH,1,98134,2005.0,9.0,1.0,168449.0,153882.0,14567.0,124904.0,40029.0,,47.5926884807,-122.3337178791
253,23.8,2025,NonResidential,Mixed Use Property,Transportation Terminal/Station,Vehicle Repair Services,Office,GREATER DUWAMISH,1,98134,2003.0,2.0,2.0,68640.0,68640.0,0.0,44160.0,24480.0,19610.0,47.584054542193,-122.34223127488
257,8.8,2025,NonResidential,Other - Utility,Other - Utility,Other,,DELRIDGE NEIGHBORHOODS,1,98134,1916.0,4.0,1.0,79600.0,79600.0,0.0,121825.0,89625.0,,47.575066403829,-122.35747256525
